store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,url_key,thumbnail,gift_message_available,url_path,custom_design,options_container,image_label,small_image_label,thumbnail_label,page_layout,msrp_enabled,msrp_display_actual_price_type,product_static_block,ingredients,retail_price,suitable_for,targeted_age,website,ss_product_id,status,visibility,is_recurring,product_survey_set,custom_review_set,review_result_set,sample_size_set,free_delivery,sample_set_nculdes,product_size,targeted_gender,price,cost,special_price,msrp,description,meta_keyword,short_description,custom_layout_update,where_to_buy,special_from_date,special_to_date,custom_design_from,custom_design_to,news_from_date,news_to_date,expiry_date,launched_date,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"131,043",SAM000056,0,ultra-thin wax strips,,,,,,,No,darlie-all-shiny-white-charcoal-clean.html,,Block after Info Column,,,,No layout updates,Use config,Use config,,Nil,Nil,All,All,Nil,720,Enabled,"Catalog, Search",No,,,review_form,,No,7 Sets Of 1000 Hour Ultra-Thin Wax Strips(7pcs),1-Week Supply,F,0.0000,0.0000,0.0000,,"Contains natural bamboo charcoal molecules which absorb dirt and deep clean the mouth.
 
Combine with SWA whitening agent which delivers effective whitening result, bringing dual whitening benefits.

- Clinical proven effectively whiten your teeth in 14 days

- Speedy Whitening Agent (SWA) removes yellowish stains

- Contains natural bamboo charcoal molecules effectively absorb dirt and deeply clean your mouth

- Fluoride for healthy teeth
 
How to use: Do not swallow. Rinse and spit out after use. Brush your teeth at least twice a day.",,--,,"Guardian, Watsons, John Little & other leading Pharmacies","Aug 24, 2014 12:00 AM",,"Aug 24, 2014 12:00 AM",,"Aug 24, 2014 12:00 AM",,"Dec 31, 2015","Mar 20, 2013 12:00 AM",-24,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,0.0000,1,0,1,0,1,0.0000,1,0,0,0,1,ultra-thin wax strips,0,simple,,
admin,base,Default,simple,"131,043",SAM000057,0,revitalens ocutec multi-purpose disinfecting solution,,,,,,,No,darlie-all-shiny-white-charcoal-clean.html,,Block after Info Column,,,,,,,,"Alexidine dihydrochloride (0.00016%), Polyquaternium (0.0003%), Boric Acid, Sodium Borate, Tetronic 904, Edetate Disodium, Sodium Citrate, Sodium Chloride, Purified Water",13.00/300ml,Contact Lens Users,12 & above,Nil,2712,Enabled,"Catalog, Search",No,,,,,No,1 Travel Size of RevitaLens OcuTec Multi-Purpose Disinfecting Solution and 1 Lens case,2-Weeks Supply,U,0.0000,0.0000,0.0000,,,,,,Leading optical shops and pharmacies,,,,,,,"Jul 1, 2014","May 5, 2014 12:00 AM",0,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,0.0000,1,0,1,0,1,0.0000,1,0,0,0,1,revitalens ocutec multi-purpose disinfecting solution,0,simple,,
admin,base,Default,simple,"131,043",SAM000058,0,sr treatment essence,,,,,,,No,darlie-all-shiny-white-charcoal-clean.html,,Block after Info Column,,,,,,,,"Water, EDTA, Betain, Citric Acid, Sodium Citrate, Propylene Glycol, Butylene Glycol, Glycerin, Methyl gluceth-20, Sodium Hyaluronate, Panthenol, Carbomer, Hydrogenated Castor Oil, Biosaccharide Gum-1, Arbutin, Morus Alba Leaf Extract, Glycyrrhiza Inflata root Extract, Allantoin, Crysanthenum Flower Extract, Ecklonia Cava Extract, Scoria Ash",,,,,533,Enabled,"Catalog, Search",No,,,,,No,1 miniature 8 ml SR treatment Essence <br> 1 product Info<br><a href='../Images/pink_beauty/SR-vouch,None,F,0.0000,0.0000,0.0000,,,,,,Pink Beauty Outlets,,,,,,,"Jan 11, 2013","Aug 1, 2010 12:00 AM",0,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,0.0000,1,0,1,0,1,0.0000,1,0,0,0,1,sr treatment essence,0,simple,,
admin,base,Default,simple,"131,043",SAM000059,0,???? - comfort all days,,,,,,,No,darlie-all-shiny-white-charcoal-clean.html,,Block after Info Column,,,,,,,,100% Non-Bleached Cotton,"$4.90/pack of 13's - Each pack consists of 6pcs (24cm) Day pad, 3pcs (28cm) Night pad & 4pcs (19cm) Lite Flow Day pad",All Skin Types especially sensitive skin,Girls of menstruating age,www.takaraholdings.com,2777,Enabled,"Catalog, Search",No,,,,,No,"ADORE COMFORT ALL DAYS - Each sample pack contains 2pcs (24cm) Day pad, 1pc (28cm) Night pad & 2pcs (19cm) Lite Flow Day pad",5-days supply,F,0.0000,0.0000,0.0000,,,,,,"Watsons, SASA, Giant, Sheng Siong, Selected Minimarts",,,,,,,"Feb 14, 2015","Feb 14, 2014 12:00 AM",258,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,0.0000,1,0,1,0,1,0.0000,1,0,0,0,1,???? - comfort all days,0,simple,,
admin,base,Default,simple,"131,043",SAM000060,0,opti-free puremoistÆ multi purpose disinfecting solution ,,,,,,,No,darlie-all-shiny-white-charcoal-clean.html,,Block after Info Column,,,,,,,,"sodium citrate, sodium chloride, boric acid, sorbitol, aminomethylpropanol, disodium EDTA, two wetting agents (TETRONIC® 1304† and HydraGlyde® Moisture Matrix [EOBO-41TM- polyoxyethylene-polyoxybutylene]) with POLYQUAD® (polyquaternium-1) 0.001% and ALDOX® (myristamidopropyl dimethylamine) 0.0006% preservatives.","18.50 / 300ml bottle , $33.50 / 300ml x 2 pack",All contact lens wearer who wants to enjoy outstanding all day comfort,All monthly contact lens users,-,2759,Enabled,"Catalog, Search",No,,,,,No,1 x 60ml Travel Size bottle,2-Weeks Supply,U,0.0000,0.0000,0.0000,,,,,,Guardian/Unity/Watsons and major optical shops,,,,,,,"Jul 14, 2014","Jan 14, 2014 12:00 AM",0,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,0.0000,1,0,1,0,1,0.0000,1,0,0,0,1,opti-free puremoistÆ multi purpose disinfecting solution ,0,simple,,
admin,base,Default,simple,"131,043",SAM000061,0,japanese aroma - peach bath salt (400g),,,,,,,No,darlie-all-shiny-white-charcoal-clean.html,,Block after Info Column,,,,,,,,"Sea Salt, Peach Leaf, Jojoba, Seaweed, Natural Active of Oak, Loquat Leaf, Pine needles, Honey ",,,,,2313,Enabled,"Catalog, Search",No,,,,,No,1 packet of Aqua Rine Japanese Aroma - peach bath salt,None,U,0.0000,0.0000,0.0000,,,,,,"www.thesamplestore.sg, Watsons, Sasa and many other small outlets ",,,,,,,"Mar 2, 2012","Mar 2, 2010 12:00 AM",0,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,0.0000,1,0,1,0,1,0.0000,1,0,0,0,1,japanese aroma - peach bath salt (400g),0,simple,,
admin,base,Default,simple,"131,043",SAM000062,0,magazine(100th),,,,,,,No,darlie-all-shiny-white-charcoal-clean.html,,Block after Info Column,,,,,,,,Nil,7.50/issue,All ,All,http://www.asiangeo.com,2719,Enabled,"Catalog, Search",No,,,,,No,1 ASIAN Geographic Magazine 100th Issue,1-Issue,U,0.0000,0.0000,0.0000,,,,,," Retail Outlets, Book Stores, Convenience Stores, Newsstands",,,,,,,"Oct 24, 2015","Oct 24, 2013 12:00 AM",172,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,0.0000,1,0,1,0,1,0.0000,1,0,0,0,1,magazine(100th),0,simple,,
admin,base,Default,simple,"131,043",SAM000063,0,new shine therapy shampoo & conditioner,,,,,,,No,darlie-all-shiny-white-charcoal-clean.html,,Block after Info Column,,,,,,,,"Shampoo: Water, Ammonium Laureth Sulfate, Alcohol, Glycol Distearate,Dimethicone,Cocamide MEA,Lauramidopropyl Betaine,Sodium Laureth Sulfate,Isodecyl Glyceryl Ether,Laureth-16, Myristyl Alcohol, Fragrance,PPG-7,Toluene Sulfonic Acid,Lactic Acid,Benzyl Alcohol,Laureth-4, Cetearyl Alcohol,Potassium hydroxide,Polyquaternium-10,Cetrimonium Chloride,Caesalpinia Spinosa Hydroxypropyltrimonium Chloride, Guar Hydroxypropyltrimonium Chloride,Polyquaternium-7,Malic Acid,Sodium Chloride,Lauryl Hydroxysultaine,Phosphoric Acid,Sodium Benzoate, Helianthus Annuus (Sunflower) Seed Oil,Lanolin Acid,Stearoxypropyl Dimethylamine,Butylene Glycol,Stearyl Alcohol,Camellia Japonica Seed Oil, Panax Ginseng Root Extract,Hydrolyzed Conchiolin Protein,Aloe Barbadensis Leaf Extract,Glycine Soja (Soybean) Protein,Sodium Hydroxide,Alpinia Speciosa Leaf Extract,Caramel,CI 14700<br>Conditioner: Water, Stearyl Alcohol, Dipropylene Glycol, Dimethicone, Cyclopentasiloxane, Stearoxypropyl Dimethylamine, Lactic Acid, Frag",13.90,"For damaged, dull & brittle coloured, rebonded or permed hair ",18 & above,Nil,731,Enabled,"Catalog, Search",No,,,,,No,15ml Asience Shampoo and conditioner with product information on pack,1-day supply,F,0.0000,0.0000,0.0000,,,,,,"Watsons, Guardian, All Supermarkets & Hypermarkets",,,,,,,"May 6, 2015","Jan 21, 2014 12:00 AM",0,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,0.0000,1,0,1,0,1,0.0000,1,0,0,0,1,new shine therapy shampoo & conditioner,0,simple,,
admin,base,Default,simple,"131,043",SAM000064,0,avalon american ginseng slice with honey,,,,,,,No,darlie-all-shiny-white-charcoal-clean.html,,Block after Info Column,,,,,,,,Nil,,,,http://hibeau.com/,491,Enabled,"Catalog, Search",No,,,,,No,1 Pack of AVALON American Ginseng Slice With Honey,None,M,0.0000,0.0000,0.0000,,,,,,"Guardian, Watsons, Unity, OG",,,,,,,"Jun 30, 2012","Aug 1, 2010 12:00 AM",0,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,0.0000,1,0,1,0,1,0.0000,1,0,0,0,1,avalon american ginseng slice with honey,0,simple,,
admin,base,Default,simple,"131,043",SAM000065,0,shampoo professional pack,,,,,,,No,darlie-all-shiny-white-charcoal-clean.html,,Block after Info Column,,,,,,,,Nil,,,,,762,Enabled,"Catalog, Search",No,,,,,No,1 Sample Pack Of Bawang Hair-strenghtening Shampoo <br>1 Sample Pack Of Bawang Anti-hair Fall Shampo,None,,0.0000,0.0000,0.0000,,,,,,"All leading supermarkets,drugstores and beautystores EG: NTUC, WATSONS, GUARDIAN, SHOP AND SAVE,SHEN",,,,,,,"Nov 1, 2013","Jun 25, 2010 12:00 AM",0,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,0.0000,1,0,1,0,1,0.0000,1,0,0,0,1,shampoo professional pack,0,simple,,
